"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate","Margin of Error!!Total!!Less than high school graduate","Estimate!!Total!!High school graduate (includes equivalency)","Margin of Error!!Total!!High school graduate (includes equivalency)","Estimate!!Total!!Some college or associate's degree","Margin of Error!!Total!!Some college or associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Graduate or professional degree","Margin of Error!!Total!!Graduate or professional degree","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Same house 1 year ago!!Less than high school graduate","Margin of Error!!Total!!Same house 1 year ago!!Less than high school graduate","Estimate!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Margin of Error!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Estimate!!Total!!Same house 1 year ago!!Some college or associate's degree","Margin of Error!!Total!!Same house 1 year ago!!Some college or associate's degree","Estimate!!Total!!Same house 1 year ago!!Bachelor's degree","Margin of Error!!Total!!Same house 1 year ago!!Bachelor's degree","Estimate!!Total!!Same house 1 year ago!!Graduate or professional degree","Margin of Error!!Total!!Same house 1 year ago!!Graduate or professional degree","Estimate!!Total!!Moved within same county","Margin of Error!!Total!!Moved within same county","Estimate!!Total!!Moved within same county!!Less than high school graduate","Margin of Error!!Total!!Moved within same county!!Less than high school graduate","Estimate!!Total!!Moved within same county!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved within same county!!High school graduate (includes equivalency)","Estimate!!Total!!Moved within same county!!Some college or associate's degree","Margin of Error!!Total!!Moved within same county!!Some college or associate's degree","Estimate!!Total!!Moved within same county!!Bachelor's degree","Margin of Error!!Total!!Moved within same county!!Bachelor's degree","Estimate!!Total!!Moved within same county!!Graduate or professional degree","Margin of Error!!Total!!Moved within same county!!Graduate or professional degree","Estimate!!Total!!Moved from different county within same state","Margin of Error!!Total!!Moved from different county within same state","Estimate!!Total!!Moved from different county within same state!!Less than high school graduate","Margin of Error!!Total!!Moved from different county within same state!!Less than high school graduate","Estimate!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different county within same state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different county within same state!!Some college or associate's degree","Estimate!!Total!!Moved from different county within same state!!Bachelor's degree","Margin of Error!!Total!!Moved from different county within same state!!Bachelor's degree","Estimate!!Total!!Moved from different county within same state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different county within same state!!Graduate or professional degree","Estimate!!Total!!Moved from different state","Margin of Error!!Total!!Moved from different state","Estimate!!Total!!Moved from different state!!Less than high school graduate","Margin of Error!!Total!!Moved from different state!!Less than high school graduate","Estimate!!Total!!Moved from different state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different state!!Some college or associate's degree","Estimate!!Total!!Moved from different state!!Bachelor's degree","Margin of Error!!Total!!Moved from different state!!Bachelor's degree","Estimate!!Total!!Moved from different state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different state!!Graduate or professional degree","Estimate!!Total!!Moved from abroad","Margin of Error!!Total!!Moved from abroad","Estimate!!Total!!Moved from abroad!!Less than high school graduate","Margin of Error!!Total!!Moved from abroad!!Less than high school graduate","Estimate!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from abroad!!Some college or associate's degree","Margin of Error!!Total!!Moved from abroad!!Some college or associate's degree","Estimate!!Total!!Moved from abroad!!Bachelor's degree","Margin of Error!!Total!!Moved from abroad!!Bachelor's degree","Estimate!!Total!!Moved from abroad!!Graduate or professional degree","Margin of Error!!Total!!Moved from abroad!!Graduate or professional degree"
"0500000US12119","Sumter County, Florida","105817","524","7778","1759","32508","4161","30623","3520","21538","4307","13370","2927","91815","4384","6237","1641","26371","4131","28223","3519","19269","4262","11715","2707","4274","1946","632","506","1620","884","878","764","762","558","382","411","2523","1147","238","272","1271","635","234","215","510","591","270","440","6524","3485","408","276","3154","2849","1181","869","876","565","905","713","681","526","263","217","92","130","107","142","121","169","98","169"
"0500000US12127","Volusia County, Florida","382433","652","36897","3218","129175","5036","130281","5206","59187","4125","26893","2454","333591","4435","30257","2776","112060","4997","116878","4804","50387","3690","24009","2284","24890","3020","3894","1646","9065","1586","6356","1415","4274","1194","1301","480","10822","2049","1538","680","3841","1260","3264","827","1701","659","478","362","9894","1885","620","316","3190","808","3235","876","2103","863","746","402","3236","1586","588","555","1019","649","548","393","722","582","359","263"
"0500000US13013","Barrow County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13015","Bartow County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13021","Bibb County, Georgia","99505","361","14132","1649","32057","2269","28159","2250","14947","1922","10210","1340","85830","2486","11834","1513","27483","2173","24091","2040","13364","1758","9058","1261","7826","1883","1377","600","2806","1285","2593","984","594","433","456","343","4223","1122","438","484","1312","657","1101","542","816","690","556","382","1279","489","483","311","256","221","227","189","173","184","140","166","347","342","0","214","200","190","147","189","0","214","0","214"
"0500000US13031","Bulloch County, Georgia","39261","815","4709","1052","9907","1770","13494","1760","5362","1213","5789","1330","33317","1549","3495","970","8695","1672","11638","1740","4603","1048","4886","1187","3452","1165","322","317","801","437","1388","602","418","340","523","554","1342","649","339","343","343","329","265","256","300","289","95","152","1017","762","553","528","68","117","203","246","41","74","152","213","133","208","0","214","0","214","0","214","0","214","133","208"
"0500000US13045","Carroll County, Georgia","71676","1017","11411","1962","24716","2411","21027","2403","9018","1602","5504","1446","59140","2473","10030","1853","20337","2216","17658","2239","6916","1477","4199","1284","6758","2032","509","390","2939","1394","1576","889","1271","874","463","574","4023","1481","573","385","770","579","1645","812","647","563","388","407","1504","1046","148","159","670","829","134","222","98","153","454","503","251","220","151","203","0","214","14","25","86","166","0","214"
"0500000US13047","Catoosa County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13051","Chatham County, Georgia","189564","699","19273","2831","46001","3139","63480","4086","38356","3015","22454","2481","151214","4232","15502","2337","37336","3519","48919","3618","30472","3080","18985","2430","18739","2883","1804","744","4626","1233","8081","2038","2737","873","1491","563","5816","1708","766","399","1534","675","1996","946","1171","639","349","347","11823","2839","414","281","2360","1427","3986","1385","3688","1411","1375","613","1972","1133","787","953","145","205","498","492","288","214","254","227"
