FIPS,state,county,year,FIPS/Year,totalvotes,dem_vote_share,rep_vote_share,other_vote_share,winning_party,republican_minus_democratic
01001,Alabama,Autauga,2008,2008/01001,23641,0.25773021445793326,0.7361363732498625,0.006133412292204221,Republican,0.4784061587919292
01003,Alabama,Baldwin,2008,2008/01003,81413,0.23811921928930269,0.7525947944431479,0.00928598626754941,Republican,0.5144755751538452
01005,Alabama,Barbour,2008,2008/01005,11630,0.48985382631126395,0.5043852106620809,0.005760963026655202,Republican,0.014531384350816912
01007,Alabama,Bibb,2008,2008/01007,8644,0.2659648310967145,0.7244331328088848,0.00960203609440074,Republican,0.4584683017121703
01009,Alabama,Blount,2008,2008/01009,24267,0.14513536901965632,0.8401945028227634,0.014670128157580254,Republican,0.6950591338031071
01011,Alabama,Bullock,2008,2008/01011,5415,0.7407202216066482,0.25687903970452447,0.0024007386888273315,Democratic,-0.4838411819021237
01013,Alabama,Butler,2008,2008/01013,9709,0.43135235348645584,0.5649397466268411,0.003707899886703059,Republican,0.13358739314038526
01015,Alabama,Calhoun,2008,2008/01015,49242,0.331708703951911,0.6569188903781324,0.011372405669956542,Republican,0.32521018642622146
01017,Alabama,Chambers,2008,2008/01017,14956,0.4546001604707141,0.5393821877507355,0.006017651778550415,Republican,0.08478202728002143
01019,Alabama,Cherokee,2008,2008/01019,9745,0.2366341713699333,0.748896870189841,0.014468958440225757,Republican,0.5122626988199077
01021,Alabama,Chilton,2008,2008/01021,17785,0.20657857745290975,0.7849311217317965,0.008490300815293787,Republican,0.5783525442788867
01023,Alabama,Choctaw,2008,2008/01023,7894,0.46060298961236384,0.5349632632379022,0.004433747149733975,Republican,0.07436027362553838
01025,Alabama,Clarke,2008,2008/01025,13435,0.44019352437662823,0.5557126907331597,0.004093784890212133,Republican,0.11551916635653142
01027,Alabama,Clay,2008,2008/01027,6819,0.25810236105000733,0.7308989587916117,0.010998680158380994,Republican,0.4727965977416044
01029,Alabama,Cleburne,2008,2008/01029,6492,0.17991373998767715,0.8034504004929144,0.0166358595194085,Republican,0.6235366605052373
01031,Alabama,Coffee,2008,2008/01031,20128,0.25233505564387915,0.7412062798092209,0.006458664546899841,Republican,0.4888712241653418
01033,Alabama,Colbert,2008,2008/01033,24843,0.39057279716620374,0.5932858350440768,0.01614136778971944,Republican,0.2027130378778731
01035,Alabama,Conecuh,2008,2008/01035,6943,0.49387872677516925,0.49978395506265305,0.006337318162177733,Republican,0.005905228287483799
01037,Alabama,Coosa,2008,2008/01037,5563,0.408592486068668,0.5838576307747618,0.007549883156570196,Republican,0.17526514470609383
01039,Alabama,Covington,2008,2008/01039,15787,0.20523215303730918,0.7882434914803319,0.006524355482358903,Republican,0.5830113384430227
01041,Alabama,Crenshaw,2008,2008/01041,6291,0.30805913209346686,0.6865363217294548,0.0054045461770783655,Republican,0.3784771896359879
01043,Alabama,Cullman,2008,2008/01043,35305,0.16609545390171362,0.8184676391445971,0.015436906953689279,Republican,0.6523721852428834
01045,Alabama,Dale,2008,2008/01045,19320,0.2727743271221532,0.7187370600414079,0.008488612836438923,Republican,0.4459627329192547
01047,Alabama,Dallas,2008,2008/01047,20852,0.6707270285823902,0.3260118933435642,0.003261078074045655,Democratic,-0.344715135238826
01049,Alabama,DeKalb,2008,2008/01049,24015,0.23560274828232355,0.7477409952113263,0.0166562565063502,Republican,0.5121382469290028
01051,Alabama,Elmore,2008,2008/01051,34315,0.2419058720676089,0.7511875273204138,0.00690660061197727,Republican,0.5092816552528049
01053,Alabama,Escambia,2008,2008/01053,14674,0.35355049747853345,0.6388851029030939,0.007564399618372632,Republican,0.2853346054245604
01055,Alabama,Etowah,2008,2008/01055,44737,0.3016965822473568,0.6838858215794532,0.014417596173189978,Republican,0.3821892393320964
01057,Alabama,Fayette,2008,2008/01057,7957,0.25059695865275855,0.7393490008797285,0.010054040467512881,Republican,0.48875204222697
01059,Alabama,Franklin,2008,2008/01059,11693,0.29667322329598905,0.6882750363465321,0.015051740357478834,Republican,0.39160181305054304
01061,Alabama,Geneva,2008,2008/01061,11657,0.18306596894569788,0.807840782362529,0.009093248691773184,Republican,0.6247748134168312
01063,Alabama,Greene,2008,2008/01063,5305,0.830914231856739,0.1651272384542884,0.003958529688972668,Democratic,-0.6657869934024505
01065,Alabama,Hale,2008,2008/01065,8214,0.6065254443632822,0.38957876795714635,0.0038957876795714633,Democratic,-0.2169466764061358
01067,Alabama,Henry,2008,2008/01067,8648,0.3489824236817761,0.6458140610545791,0.005203515263644773,Republican,0.29683163737280294
01069,Alabama,Houston,2008,2008/01069,41735,0.292919611836588,0.700946447825566,0.006133940337845933,Republican,0.40802683598897804
01071,Alabama,Jackson,2008,2008/01071,20874,0.3053559451949794,0.674667049918559,0.019977004886461626,Republican,0.3693111047235796
01073,Alabama,Jefferson,2008,2008/01073,318524,0.5215336991875024,0.47067410932928133,0.007792191483216335,Democratic,-0.05085958985822103
01075,Alabama,Lamar,2008,2008/01075,7075,0.22812720848056536,0.7659363957597173,0.005936395759717315,Republican,0.537809187279152
01077,Alabama,Lauderdale,2008,2008/01077,38104,0.34980579466722656,0.6316397228637414,0.018554482469032123,Republican,0.2818339281965148
01079,Alabama,Lawrence,2008,2008/01079,14680,0.3517711171662125,0.6319482288828338,0.01628065395095368,Republican,0.28017711171662124
01081,Alabama,Lee,2008,2008/01081,54325,0.3957294063506673,0.5932811780947999,0.010989415554532905,Republican,0.19755177174413258
01083,Alabama,Limestone,2008,2008/01083,33551,0.28422401716789364,0.7033471431551965,0.012428839676909779,Republican,0.4191231259873029
01085,Alabama,Lowndes,2008,2008/01085,7278,0.7486946963451497,0.2485572959604287,0.0027480076944215444,Democratic,-0.500137400384721
01087,Alabama,Macon,2008,2008/01087,10877,0.8688057368759768,0.12834421255860992,0.0028500505654132573,Democratic,-0.7404615243173669
01089,Alabama,Madison,2008,2008/01089,152899,0.41934218013198254,0.5687741581043696,0.011883661763647899,Republican,0.14943197797238705
01091,Alabama,Marengo,2008,2008/01091,11471,0.5166070961555226,0.480864789469096,0.0025281143753813967,Democratic,-0.035742306686426584
01093,Alabama,Marion,2008,2008/01093,12355,0.2104411169566977,0.7718332658842574,0.017725617159044922,Republican,0.5613921489275597
01095,Alabama,Marshall,2008,2008/01095,33166,0.21220527045769763,0.7757040342519448,0.012090695290357596,Republican,0.5634987637942471
01097,Alabama,Mobile,2008,2008/01097,181424,0.4529775553399771,0.5404411764705882,0.006581268189434694,Republican,0.08746362113061112
01099,Alabama,Monroe,2008,2008/01099,11252,0.4465872733736225,0.5487913259864913,0.004621400639886242,Republican,0.1022040526128688
01101,Alabama,Montgomery,2008,2008/01101,104743,0.5935098288191096,0.40127741233304376,0.0052127588478466345,Democratic,-0.19223241648606587
01103,Alabama,Morgan,2008,2008/01103,50542,0.2749198686241146,0.7125558941078707,0.01252423726801472,Republican,0.4376360254837561
01105,Alabama,Perry,2008,2008/01105,6159,0.7236564377333983,0.27260918980353954,0.0037343724630621855,Democratic,-0.45104724792985873
01107,Alabama,Pickens,2008,2008/01107,10067,0.4563425052150591,0.53978345087911,0.0038740439058309326,Republican,0.08344094566405086
01109,Alabama,Pike,2008,2008/01109,13955,0.42128269437477606,0.5735578645646722,0.0051594410605517735,Republican,0.15227517018989611
01111,Alabama,Randolph,2008,2008/01111,10384,0.2950693374422188,0.6909668721109399,0.013963790446841295,Republican,0.3958975346687211
01113,Alabama,Russell,2008,2008/01113,18915,0.5331747290510177,0.4602167591858313,0.006608511763150938,Democratic,-0.07295796986518638
01115,Alabama,St. Clair,2008,2008/01115,34088,0.17868458108425253,0.811106547758742,0.010208871157005398,Republican,0.6324219666744895
01117,Alabama,Shelby,2008,2008/01117,90643,0.22754101254371545,0.7618900521827389,0.010568935273545669,Republican,0.5343490396390234
01119,Alabama,Sumter,2008,2008/01119,7020,0.7498575498575498,0.2465811965811966,0.0035612535612535613,Democratic,-0.5032763532763532
01121,Alabama,Talladega,2008,2008/01121,34204,0.40284762016138465,0.588001403344638,0.009150976493977312,Republican,0.18515378318325337
01123,Alabama,Tallapoosa,2008,2008/01123,19311,0.31396613329190615,0.6791983843405313,0.006835482367562529,Republican,0.3652322510486251
01125,Alabama,Tuscaloosa,2008,2008/01125,78912,0.4156021897810219,0.5753877737226277,0.009010036496350364,Republican,0.1597855839416058
01127,Alabama,Walker,2008,2008/01127,28652,0.2589697054306855,0.7232304900181489,0.017799804551165713,Republican,0.4642607845874634
01129,Alabama,Washington,2008,2008/01129,8775,0.34951566951566954,0.6443304843304843,0.006153846153846154,Republican,0.2948148148148148
01131,Alabama,Wilcox,2008,2008/01131,6494,0.7101940252540807,0.2876501385894672,0.0021558361564521095,Democratic,-0.4225438866646135
01133,Alabama,Winston,2008,2008/01133,10031,0.17515701325889743,0.8077958329179543,0.01704715382314824,Republican,0.6326388196590569
04001,Arizona,Apache,2008,2008/04001,24262,0.6343252823345149,0.35244415134778667,0.013230566317698459,Democratic,-0.28188113098672823
04003,Arizona,Cochise,2008,2008/04003,48820,0.38801720606308887,0.5945514133551824,0.0174313805817288,Republican,0.20653420729209349
04005,Arizona,Coconino,2008,2008/04005,54344,0.5784079199175622,0.408251140880318,0.013340939202119829,Democratic,-0.17015677903724424
04007,Arizona,Gila,2008,2008/04007,22333,0.3530201943312587,0.631128822818251,0.015850982850490306,Republican,0.2781086284869923
04009,Arizona,Graham,2008,2008/04009,12007,0.290413925210294,0.6975930707087532,0.011993004080952777,Republican,0.4071791454984592
04011,Arizona,Greenlee,2008,2008/04011,2913,0.3999313422588397,0.5877102643323034,0.012358393408856848,Republican,0.18777892207346375
04012,Arizona,La Paz,2008,2008/04012,5552,0.3474423631123919,0.6320244956772334,0.02053314121037464,Republican,0.2845821325648415
04013,Arizona,Maricopa,2008,2008/04013,1364962,0.4411595341115723,0.5468635756892866,0.011976890199141076,Republican,0.10570404157771424
04015,Arizona,Mohave,2008,2008/04015,67605,0.32678056356778346,0.6557651061312033,0.01745433030101324,Republican,0.32898454256341986
04017,Arizona,Navajo,2008,2008/04017,35800,0.4351675977653631,0.5519832402234637,0.012849162011173185,Republican,0.11681564245810055
04019,Arizona,Pima,2008,2008/04019,393428,0.5242484012322458,0.4636324816739022,0.012119117093851987,Democratic,-0.06061591955834361
04021,Arizona,Pinal,2008,2008/04021,104883,0.4219368248429202,0.5665455793598582,0.011517595797221666,Republican,0.14460875451693794
