FIPS,state,county,republican_minus_democratic_2012,republican_minus_democratic_2016,change
1001,Alabama,Autauga,0.4603041952197894,0.489969166700036,0.029664971480246605
1003,Alabama,Baldwin,0.5576882514237502,0.571601113269968,0.013912861846217761
1005,Alabama,Barbour,-0.031453644973499006,0.055688222370809004,0.08714186734430801
1007,Alabama,Bibb,0.4667458432304038,0.5515364553804286,0.08479061215002481
1009,Alabama,Blount,0.7409397650587353,0.8090901985305612,0.06815043347182592
1011,Alabama,Bullock,-0.5279969936114243,-0.5074309978768576,0.020565995734566633
1013,Alabama,Butler,0.07508424599831504,0.1345625286303252,0.05947828263201016
1015,Alabama,Calhoun,0.31923816935815125,0.4099740932642487,0.09073592390609747
1017,Alabama,Chambers,0.05167339675586885,0.1481294964028777,0.09645609964700885
1019,Alabama,Cherokee,0.5495449432457307,0.6900214292369329,0.14047648599120222
1021,Alabama,Chilton,0.6033100446684229,0.6625292612553759,0.05921921658695306
1023,Alabama,Choctaw,0.04593373493975905,0.13672517827756447,0.09079144333780542
1025,Alabama,Clarke,0.08201573893581687,0.10674545315018036,0.024729714214363485
1027,Alabama,Clay,0.4563194235965176,0.605072463768116,0.14875304017159835
1029,Alabama,Cleburne,0.6821570182394925,0.7705141817078719,0.08835716346837941
1031,Alabama,Coffee,0.4927162367223065,0.5611787932777965,0.06846255655549
1033,Alabama,Colbert,0.20397690827453496,0.3786474011639575,0.17467049288942255
1035,Alabama,Conecuh,-0.016519510111079442,0.051632498101746416,0.06815200821282585
1037,Alabama,Coosa,0.16283924843423794,0.30445544554455445,0.1416161971103165
1039,Alabama,Covington,0.5832198664332491,0.6825595984943539,0.0993397320611048
1041,Alabama,Crenshaw,0.3554066687441571,0.4546034785383756,0.09919680979421852
1043,Alabama,Cullman,0.6949821516672955,0.7707601721543051,0.07577802048700966
1045,Alabama,Dale,0.4215120978606456,0.5010933916475546,0.07958129378690904
1047,Alabama,Dallas,-0.397270080656708,-0.3750000000000001,0.02227008065670788
1049,Alabama,DeKalb,0.5486317730377572,0.6885696584836987,0.13993788544594143
1051,Alabama,Elmore,0.4875017613075948,0.5150563607085346,0.02755459940093974
1053,Alabama,Escambia,0.2554307619880288,0.3590434489727181,0.10361268698468934
1055,Alabama,Etowah,0.3838937220785328,0.4961280681097726,0.11223434603123983
1057,Alabama,Fayette,0.5332242637805185,0.6485634622378471,0.11533919845732865
1059,Alabama,Franklin,0.4048254903766461,0.6037375415282392,0.1989120511515931
1061,Alabama,Geneva,0.6303886925795052,0.7202755570675284,0.08988686448802319
1063,Alabama,Greene,-0.696067415730337,-0.6506147540983607,0.045452661631976365
1065,Alabama,Hale,-0.25465694781904435,-0.1992537313432836,0.05540321647576074
1067,Alabama,Henry,0.2905251141552511,0.4137760158572844,0.12325090170203329
1069,Alabama,Houston,0.403239658380648,0.4705551255892492,0.06731546720860121
1071,Alabama,Jackson,0.4187685279681198,0.6194719786504004,0.20070345068228057
1073,Alabama,Jefferson,-0.05986154160003687,-0.07266815915000767,-0.012806617549970797
1075,Alabama,Lamar,0.5318169132012279,0.6871949468848694,0.15537803368364145
