FIPS,state,county,year,FIPS/Year,totalvotes,dem_vote_share,rep_vote_share,other_vote_share,winning_party,republican_minus_democratic
1001,Alabama,Autauga,2008,2008/01001,23641,0.257730214,0.736136373,0.006133412,Republican,0.478406159
1003,Alabama,Baldwin,2008,2008/01003,81413,0.238119219,0.752594794,0.009285986,Republican,0.514475575
1005,Alabama,Barbour,2008,2008/01005,11630,0.489853826,0.504385211,0.005760963,Republican,0.014531384
1007,Alabama,Bibb,2008,2008/01007,8644,0.265964831,0.724433133,0.009602036,Republican,0.458468302
1009,Alabama,Blount,2008,2008/01009,24267,0.145135369,0.840194503,0.014670128,Republican,0.695059134
1011,Alabama,Bullock,2008,2008/01011,5415,0.740720222,0.25687904,0.002400739,Democratic,-0.483841182
1013,Alabama,Butler,2008,2008/01013,9709,0.431352353,0.564939747,0.0037079,Republican,0.133587393
1015,Alabama,Calhoun,2008,2008/01015,49242,0.331708704,0.65691889,0.011372406,Republican,0.325210186
1017,Alabama,Chambers,2008,2008/01017,14956,0.45460016,0.539382188,0.006017652,Republican,0.084782027
1019,Alabama,Cherokee,2008,2008/01019,9745,0.236634171,0.74889687,0.014468958,Republican,0.512262699
1021,Alabama,Chilton,2008,2008/01021,17785,0.206578577,0.784931122,0.008490301,Republican,0.578352544
1023,Alabama,Choctaw,2008,2008/01023,7894,0.46060299,0.534963263,0.004433747,Republican,0.074360274
1025,Alabama,Clarke,2008,2008/01025,13435,0.440193524,0.555712691,0.004093785,Republican,0.115519166
1027,Alabama,Clay,2008,2008/01027,6819,0.258102361,0.730898959,0.01099868,Republican,0.472796598
1029,Alabama,Cleburne,2008,2008/01029,6492,0.17991374,0.8034504,0.01663586,Republican,0.623536661
1031,Alabama,Coffee,2008,2008/01031,20128,0.252335056,0.74120628,0.006458665,Republican,0.488871224
1033,Alabama,Colbert,2008,2008/01033,24843,0.390572797,0.593285835,0.016141368,Republican,0.202713038
